ID;Customer
0x0282;Smart Electronic Industrial (Dongguan) Co., Limited
0x0283;TP-Link Technologies Co., Ltd.
0x0284;Empers Tech Co., Ltd.
0x0285;CONNECTION TECHNOLOGY SYSTEMS 
0x0286;Shenzhen Easyhome Technology Co., Ltd.
0x0287;HAB Home Intelligence, LLC
0x0288;INTERSOFT
0x0289;Reserved
0x028A;Askey Computer Corp.
0x028B;Sunjet Components Corp.
0x028C;Powerley
0x028D;Panodic Electric (Shenzhen) Limited
0x028E;Alphanetworks
0x028F;Eco Automation
0x0290;S1
0x0291;Cegedev
0x0292;Reserved
0x0293;Hogar Controls
0x0294;D-3 Technology Co. Ltd
0x0295;fifthplay nv
0x0296;OBLO LIVING LLC
0x0297;AdMobilize, LLC
0x0298;Horus Smart Control
0x0299;TechniSat Digital GmbH
0x029A;Scout Alarm
0x029B;ESSENTIAL TECHNOLOGIES INC.
0x029C;SoftAtHome
0x029D;Rubetek
0x029E;Reserved
0x029F;AMADAS Co., LTD 
0x0300;LEEDARSON LIGHTING CO., LTD.
0x0301;SECO SRL
0x0302;Reserved
0x0303;Reserved
0x0304;MYHOMEBOX B.V.
0x0305;Future Home AS
0x0306;Reserved
0x0307;SATCO Products, Inc. 
0x0308;Reserved
0x0309;Comfortability
0x030A;Dooya
0x030B;Shandong�Smart�Life�Data�System�Co�.LTD
0x030C;Verizon
0x030D;Hampoo
0x030E;Reserved
0x030F;Vemmio
0x0310;Reserved
0x0311;Blaze Automation
0x0312;NIE�Technology�Co.,�Ltd
0x0313;Hoppe
0x0314;Raonix Co., Ltd.
0x0315;zwaveproducts.com
0x0316;Lite Automation
0x0317;Think Simple srl
0x0318;SBCK Corp. 
0x0319;Toledo & Co., Inc.
0x031A;Panasonic ES Shin Dong-A Co., Ltd
0x031B;DVACO GROUP
0x031C;Ilevia srl
0x031D;Z-Wave Alliance
0x031E;Inovelli
0x031F;Eelectron SpA
0x0320;China Security�&�Fire IOT Sensing CO., LTD�
0x0321;Reserved
0x0322;Paxton Access Ltd
0x0323;SmartHome Partner GmbH
0x0324;Reserved
0x0325;Reserved
0x0326;TODKI
0x0327;TMC Technology Ltd.
0x0328;Cvnet
0x0329;COMAP
0x032A;AUCEAN TECHNOLOGY. INC
0x032B;Anchor Tech 
0x032C;Shenzhen�Saykey�Technology�Co., Ltd�
0x032D;Benetek
0x032E;DEFARO
0x032F;Reserved
0x0330;ShenZhen Sunricher Technology Limited
0x0331;WINKA�ELECTRONIC�CO.,LTD
0x0332;Reserved
0x0333;Toshiba Visual Solution
0x0334;Dusun Electron Ltd.
0x0335;Gemtek Technology Co., Ltd
0x0336;EMT Controls
0x0337;KDDI
0x0338;International Integrated Systems, Inc. (IISI)
0x0339;SWYCS
0x033A;Shenzhen Golden Security Technology Co., Ltd
0x033B;Tingcore AB� (Info24 AB)
0x033C;Centurylink
0x033D;Reserved
0x033E;GE
0x033F;August Home
0x0341;Prodea
0x0342;LIMEI
0x0343;Reserved
0x0344;HELTUN
0x0345;Swidget Corp 
0x0346;Ring
0x0347;Reserved
0x0348;KUNDO xT GmbH
0x0349;Codeatelier�GmbH
0x034A;AcroComm Corp.
0x034B;Glamo Inc.
0x034C;KOCOM
0x034D;Reserved
0x034E;TEM AG
0x034F;TONG LUNG METAL INDUSTRY CO., LTD.
0x0350;AENSys Informatics Ltd.
0x0351;NEOCONTROL US LLC
0x0352;Reserved
0x0353;Alula
0x0354;Reserved
0x0355;Qingdao hongyu cles air conditioning co.,ltd.
0x0356;Shenzhen ZHIQU Technology Limited
0x0357;Shenzhen 3nod Acousticlink Co., LTD
0x0358;Star Automation
0x0359;Chamberlain Group
0x035A;SOREL GmbH 
0x035B;Aeinnovation (AEI)
0x035C;LINK ELECTRONICS Co., Ltd.
0x035D;Digital Watchdog
0x035E;RISCO Group
0x035F;KIWILAB
0x0360;Reserved
0x0361;NHN Entertainment
0x0362;Liaoning�Youwang�Lighting�and�Electronic�Technology�Pty�Ltd
0x0363;Nanjing IoTx Intelligent Technology Co., Ltd.
0x0364;Axis Communications AB 
0x0365;Golden Mark (HK) Ltd
0x0366;PHILIA TECHNOLOGY Co., Ltd.
0x0367;ViewQwest Pte Ltd
0x0368;IOOOTA
0x0369;2KLIC
0x036A;Reserved
0x036B;NEC Platforms Ltd
0x036C;Shenzhen Sen5 Technology Co., Ltd.
0x036D;Luffanet Co. Lte.�
0x036E;Zinno
0x036F;Evolvere SpA 
0x0370;Raylios
0x0371;Aeotec Limited
0x0372;ALLEATO
0x0373;ID Lock AS
0x0374;Hyundai Telecom
0x0375;T&W_SHENZHEN GONGJIN ELECTRONICS CO.,LTD_
0x0376;Pytronic AB 
0x0377;HORNBACH Baumarkt AG
0x0378;Shandong Bittel Intelligent Technology Co., Ltd
0x0379;CPRO
0x037A;Shenzhen JBT Smart Lighting Co., Ltd
0x037B;KeyWe Inc
0x037C;Eco Life Engineering Co., Ltd.
0x037D;Xiamen AcTEC Electronics Co., Ltd.
0x037E;Reserved
0x037F;Reserved
0x0380;Reserved
0x0381;Shenzhen Thingsview Tech
0x0382;INNOPIA Technologies, Inc.
0x0383;CribOS
0x0384;Ameta International Co. Ltd.
0x0385;Inergy Systems LLC
0x0386;Reserved
0x0387;HangZhou iMagic�Technology Co., Ltd
0x0388;Vates
0x0389;Elear Solutions Tech Pvt. Ltd.
0x038A;iamsmart
0x038C;Lowes
0x038D;nCube
0x038E;NYSEARCH
0x038F;CHENGPUTECH
0x0390;Smartrent.com, LLC
0x0391;GUANGDONG PHNIX ECO-ENERGY SOLUTION LTD.
0x0392;Animus Home AB
0x0393;Embedded Data Systems
0x0394;SONG JIANG YUN-AN TECHNOLOGY CO., LTD.
0x0395;Guangzhou_SIMT �Limited
0x0396;Bulcraft Control
0x0397;Teptron AB 
0x0398;Calix
0x0399;Hubitat, Inc.
0x039A;Reserved
0x039B;Eltex Enterprise Ltd.
0x039C;Foxconn Industrial Internet
0x039D;ECS
0x039E;Invalance
0x039F;JLabs Corporation
0x0400;Abode
0x0401;Grenton Sp. z o.o.
0x0402;Sony Mobile Communications Inc.
0x0403;ABUS Security-Center GmbH & Co. KG 
0x0404;CCC Air Inc.
0x0405;AEM Acotel Engineering and Manufacturing Spa
0x0406;Shenzhen Meian Technology Co. Ltd
0x0407;LifeSmart Inc.
0x0408;Gerber Technology
0x0409;ABUS August Bremicker S�hne KG 
0x040A;Hangzhou Hikvision Digital Technology Co.,Ltd.
0x040B;Arlo Technologies, Inc.
0x040C;HEIGHTS TELECOM T LTD
0x040D;Delaney Hardware
0x040E;ZHONGSHAN YunJia INTELLIGENT TECHNOLOGY CO.,LTD
0x040F;RATOC Systems Inc.
0x0410;UHS Systems Pty Ltd Australia
0x0411;Johnson Controls, Inc.
0x0412;Nihon Lock Service Co., Ltd.
0x0413;Rehau AG + Co
0x0414;Kame Logic s.r.l.
0x0415;Dwelo Inc.
0x0416;Transducers Direct
0x0417;Reserved
0x0418;UNION COMMUNITY Co., Ltd
0x0419;CONFIO TECHNOLOGIES PRIVATE LIMITED
0x041A;A.KEEMPLECOM LIMITED 
0x041B;Resideo
0x041C;Kjell & Co Elektronik
0x041D;Reserved
0x041E;Enplug
0x041F;BeSense
0x0420;iRidium mobile
0x0421;Smartron India Pvt Ltd.
0x0422;Reserved
0x0423;VARIA3 GmbH
0x0424;Diceworld
0x0425;ZTE Corporation
0x0426;JR Automation Technology 
0x0427;ATSUMI Electric Co.,Ltd.�
0x0428;Ondo Connectivity
0x0429;Volansys Technologies
0x042A;Great Connection System Pte. Ltd.
0x042B;Smart Armor
0x042C;Walmart, Inc. on behalf of its affiliate Project Franklin, LLC
0x042D;Environexus Pty. Ltd.
0x042E;TEDEE Sp�_ka z Ograniczon_ Odpowiedzialno_ci_
0x042F;IOTAS
0x0430;Accel Lab Ltd.
0x0431;HZC Electric Co., Limited
0x0432;Gigaset
0x0433;AcTEC (Fuzhou) Electronics Co., Ltd.
0x0434;Reserved
0x0435;MIWA Lock Co., Ltd
0x0436;Lumi
0x0437;Electric Ireland 
0x0438;Namron AS
0x0439;Rently
0x043A;Havenlock Inc.
0x043B;Reserved
0x043C;Reserved
0x043D;Reserved
0x043E;Reserved
0x043F;Sony Network Communications Inc.
0x0440;MASTER SRL DIVISIONE ELETTRICA
0x0441;Nice S.p.A.
0x0442;Reserved
0x0443;Reply S.p.A.
0x0444;Reserved
0x0445;Reserved
0x0446;Reserved
0x0447;Schneider Electric
0x0448;Amper Sistemas
0x0449;Reserved
0x044A;Boundary Technologies Ltd
0x044B;Dongguan Will Power Technology
0x044C;SmartDHOME S.r.l
0x044D;CodeTrack AB
0x044E;Airzone - Corporaci�n Empresarial Altra S.L. 
0x044F;GE Appliances 
0x0450;Yardi Systems, Inc
0x0451;BBM Corporation
0x0452;U-Tec Group
0x0453;Masonite
0x0454;Sengled Co., Ltd.
0x0455;Cherubini Spa
0x0456;Homee GmbH
0x5254;Remotec
0xFFF0;Reserved
0xFFF1;Reserved
0xFFF2;Reserved
0xFFFF;Reserved
